2018/10/15 10:47:40.488 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:41.001 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:41.263 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:41.263 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:41.515 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:42.032 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:42.267 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:42.267 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:42.543 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:43.063 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:43.269 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:43.269 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 11:01:19.182 [D]  init conf succ, config
2018/10/15 11:02:24.160 [D]  init conf succ, config
2018/10/15 11:04:36.814 [D]  init conf succ, config
2018/10/15 11:05:29.473 [D]  init conf succ, config
2018/10/15 11:09:35.171 [D]  init conf succ, config
2018/10/15 11:12:35.997 [D]  init conf succ, config
2018/10/15 11:20:35.502 [D]  init conf succ, config
2018/10/15 11:24:00.209 [D]  init conf succ, config
2018/10/15 11:25:22.475 [D]  init conf succ, config
2018/10/15 11:25:47.620 [D]  init conf succ, config
2018/10/15 11:31:24.108 [D]  init conf succ, config
2018/10/15 11:35:54.624 [D]  init conf succ, config
2018/10/15 11:42:40.660 [D]  init conf succ, config
2018/10/15 11:43:33.285 [D]  init conf succ, config
2018/10/15 11:44:20.907 [D]  init conf succ, config
2018/10/15 11:45:00.931 [D]  init conf succ, config
2018/10/15 11:45:49.305 [D]  init conf succ, config
2018/10/15 11:45:54.887 [D]  init conf succ, config
2018/10/15 11:46:07.370 [D]  init conf succ, config
2018/10/15 11:49:35.392 [D]  init conf succ, config
2018/10/15 11:52:54.526 [D]  init conf succ, config
2018/10/15 11:58:57.682 [D]  init conf succ, config
2018/10/15 12:03:42.110 [D]  init conf succ, config
2018/10/15 12:39:52.207 [D]  init conf succ, config
2018/10/15 12:41:38.310 [D]  init conf succ, config
2018/10/15 12:45:20.185 [D]  init conf succ, config
2018/10/15 12:47:59.158 [D]  init conf succ, config
2018/10/15 12:48:50.804 [D]  init conf succ, config
2018/10/15 12:50:04.322 [D]  init conf succ, config
2018/10/15 12:57:00.787 [D]  init conf succ, config
2018/10/15 12:59:04.816 [D]  init conf succ, config
2018/10/15 13:01:08.582 [D]  init conf succ, config
2018/10/15 13:39:13.593 [D]  init conf succ, config
2018/10/15 13:40:44.069 [D]  init conf succ, config
2018/10/15 13:45:10.315 [D]  init conf succ, config
2018/10/15 13:48:29.984 [D]  init conf succ, config
2018/10/15 13:51:19.845 [D]  init conf succ, config
2018/10/15 13:53:56.225 [D]  init conf succ, config
2018/10/15 13:55:00.408 [D]  init conf succ, config
2018/10/15 13:57:50.989 [D]  init conf succ, config
